vehicle_maker,Number_of_customers
Chevrolet,83
Ford,63
Toyota,52
Dodge,50
Pontiac,50
Mercedes-Benz,45
Mazda,43
Mitsubishi,41
Buick,40
GMC,37
Volkswagen,35
Nissan,31
BMW,28
Volvo,26
Audi,25
Subaru,22
Suzuki,22
Honda,19
Cadillac,18
Isuzu,18
Lexus,18
Lincoln,16
Kia,16
Infiniti,16
Mercury,15
Hyundai,14
Chrysler,14
Jaguar,13
Oldsmobile,12
Saab,11
Acura,11
Jeep,11
"Land Rover",10
Lamborghini,8
Plymouth,8
Porsche,7
Maserati,6
Bentley,6
Ferrari,6
Eagle,4
Lotus,4
Geo,4
Maybach,3
Scion,3
Morgan,3
"Aston Martin",2
Rolls-Royce,2
Saturn,2
MINI,2
Austin,1
Citroï¿½n,1
MG,1
Daewoo,1
Ram,1
